Author,Year,User Rating,Reviews,Name,Price,Genre
Abraham Verghese,2010,4.6,4866,Cutting for Stone,11.0,Fiction
Abraham Verghese,2011,4.6,4866,Cutting for Stone,11.0,Fiction
Adam Gasiewski,2017,4.4,3113,Milk and Vine: Inspirational Quotes From Classic Vines,6.0,Non Fiction
Adam Mansbach,2011,4.8,9568,Go the F**k to Sleep,9.0,Fiction
Adir Levy,2019,4.8,8170,What Should Danny Do? (The Power to Choose Series),13.0,Fiction
Admiral William H. McRaven,2017,4.7,10199,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,11.0,Non Fiction
Adult Coloring Book Designs,2016,4.5,2313,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.0,Non Fiction
Alan Moore,2009,4.8,3829,Watchmen,42.0,Fiction
Alex Michaelides,2019,4.5,27536,The Silent Patient,14.0,Fiction
Allie Brosh,2013,4.7,4896,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",17.0,Non Fiction
American Psychiatric Association,2013,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
American Psychiatric Association,2014,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
American Psychological Association,2009,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
American Psychological Association,2010,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
American Psychological Association,2011,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
American Psychological Association,2012,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
American Psychological Association,2013,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
American Psychological Association,2014,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
