Datum (MEZ),Laufwasser,Biomasse,Braunkohle,Steinkohle,Öl,Erdgas,Geothermie,Speicherwasser,Pumpspeicher,Andere,Müll,Wind Offshore,Wind Onshore,Solar,Last
,Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW),Leistung (MW)
2024-01-01T00:00+01:00,2223.2,4180.6,3314,1566,398.4,2680.2,22.9,86.4,791.4,152.4,837.2,5838.9,29367,2.4,40592.6
2024-01-01T00:15+01:00,2222.3,4182.8,3436.9,1572.5,397.6,2516.8,22.8,99.7,430.3,152.4,844,5747.9,29028,2.4,40301.1
2024-01-01T00:30+01:00,2218.7,4185.5,3340.2,1567,397.8,2516.7,22.9,90,470.4,152.4,836,5618.1,29035.8,1.6,40171.7
2024-01-01T00:45+01:00,2216.7,4187.7,3318.9,1577.4,398.4,2496.4,22.8,82.6,358.3,152.4,813.6,5512,29440.9,1.7,39615
2024-01-01T01:00+01:00,2216.1,4166.3,3322.8,1572.5,398,2504.5,22.6,82.8,505.9,152.4,813.2,5463.9,29501.6,2.4,39336.8
2024-01-01T01:15+01:00,2216.4,4161.6,3339.5,1569.1,398.1,2489.5,22.6,104.5,426.1,152.4,803.2,5342.8,29361.9,1.7,38991.1
2024-01-01T01:30+01:00,2219.3,4152.3,3348.9,1558.3,397.7,2493.9,22.4,87.3,405.1,152.3,813.3,5282.2,29110.8,1.7,38615.8
2024-01-01T01:45+01:00,2222,4148.6,3323.1,1562.2,397.7,2463.8,22.3,84.1,404.3,152.3,818,5294,29366.3,1.7,38328.8
2024-01-01T02:00+01:00,2223.6,4144.5,3332.3,1548.2,398.1,2503.7,22.1,138.9,472.9,152.4,804.9,5360.1,29388.6,2.4,38408
2024-01-01T02:15+01:00,2229.2,4153.2,3330.2,1544.6,398.4,2516.4,22.2,90,407.9,152.3,800.4,5344.3,29291.6,1.6,38034.7
2024-01-01T02:30+01:00,2231.1,4137.3,3342.1,1541.7,398,2523.7,22.2,82.8,405.1,152.4,798.6,5185.6,29313.4,1.7,37661.8
2024-01-01T02:45+01:00,2232.8,4136.7,3333.6,1540.9,397.6,2511.2,22.3,82,404,152.3,801.8,4864.3,29271.8,1.6,37285.7
2024-01-01T03:00+01:00,2228.8,4116.6,3354.8,1539.4,398.3,2532.4,22.3,129.8,396.9,152.3,803.3,4606.5,29150.7,2.3,37307.9
2024-01-01T03:15+01:00,2226.7,4116.9,3365.8,1535.8,397.5,2530.2,22.3,106.1,331.9,152.3,811.5,4582.5,28859.8,1.6,37113.3
2024-01-01T03:30+01:00,2223.5,4120.6,3342.6,1531.8,397.4,2538.4,22.3,98.7,332.4,152.6,821.6,4763,28673.7,2.4,37040.6
2024-01-01T03:45+01:00,2220.8,4126.4,3351.3,1530.8,398.4,2535.9,22.3,85.6,302.6,152.4,829.6,4744.4,28755.9,1.6,37031.1
2024-01-01T04:00+01:00,2215.7,4118.9,3353.9,1541.9,398.1,2534.7,22.2,126.8,172.5,152.3,810.4,4579,28736.3,1.6,36984.6
2024-01-01T04:15+01:00,2211.9,4123.9,3357.5,1546.9,398.4,2529.4,22.1,127.6,181.9,152.2,797.8,4443,29213.9,1.7,36618.9
2024-01-01T04:30+01:00,2212.1,4123.3,3353.7,1549.7,398.1,2505.9,21.9,137,195.2,152.3,797.5,4385.2,29085.3,1.6,36612.8
2024-01-01T04:45+01:00,2210.2,4133.6,3352.2,1550.5,397.4,2502.9,21.7,131.8,194.3,152.5,806.3,4350.2,28780.4,1.6,36797.8
2024-01-01T05:00+01:00,2208.8,4148.5,3359.3,1542.8,398.4,2532.3,21.3,126.5,167.3,152.4,804.5,4561.1,28763.6,1.6,37366.9
2024-01-01T05:15+01:00,2206.8,4159.1,3356.3,1549.1,398,2542.3,21.4,126.7,166.7,152.4,805.9,4729.1,28817,1.6,37147.2
2024-01-01T05:30+01:00,2203.1,4163.6,3348.3,1549.8,397.9,2553.3,21.4,143.3,209.1,152.5,808.3,4664.6,28990.1,2.2,37002
2024-01-01T05:45+01:00,2201.6,4179.8,3374.5,1542.7,398.4,2561.7,21.3,137.2,210.9,152.3,784.4,4543.9,28912.8,2.3,36689.5
2024-01-01T06:00+01:00,2199,4200.5,3384.7,1550.7,397.8,2547.9,21.1,84.6,151.1,152.4,805.9,4491.3,29035.9,1.5,36592.6
2024-01-01T06:15+01:00,2195.9,4206.5,3386.9,1545.8,397.7,2541.4,20.6,83.1,149.5,152.2,803.6,4407.2,28904.8,1.7,36780
2024-01-01T06:30+01:00,2193.3,4207.9,3405.1,1545.9,397.6,2521.2,20.9,74.5,167.6,152.2,808.3,4198.5,28568.3,1.9,36707.9
2024-01-01T06:45+01:00,2191.8,4214.6,3404.3,1554.5,397.8,2536.6,21.1,111.7,152.4,152.3,802.7,4045.3,28706.9,2.5,36821.2
2024-01-01T07:00+01:00,2189.4,4253.7,3407.1,1561.4,397.9,2528.2,21.2,97.2,153.4,152.2,802.7,3958.9,28965.1,1.7,37000.4
2024-01-01T07:15+01:00,2185.3,4281.9,3381.7,1563.8,398.1,2517.1,21.1,70.5,178.9,152.2,806.5,3947.6,29247.6,2.6,37292.8
2024-01-01T07:30+01:00,2182.3,4298.7,3372.9,1558.8,397.9,2524.7,21.1,73.3,155.4,152.3,805.3,3863.9,29718.1,2.7,37479.1
2024-01-01T07:45+01:00,2180.6,4320.2,3361.7,1556.3,397.6,2513.5,21,91.1,151.5,152.3,792.2,3817.8,29905.3,3.1,37511.8
2024-01-01T08:00+01:00,2180.7,4359.8,3366.4,1556.7,398.4,2524.4,21,70.9,13.8,152.3,811.1,3926.6,30271.9,8.1,37688.2
2024-01-01T08:15+01:00,2180.7,4381.4,3393,1555.2,398.4,2531,21.1,105.5,68.3,152.2,822.4,3855.2,30330,96.1,37748.9
2024-01-01T08:30+01:00,2183.1,4386.1,3384.3,1546,397.4,2514.9,21.2,95.5,4.2,152.3,807.5,3846.1,30398.1,522.5,38167.1
2024-01-01T08:45+01:00,2186.4,4386.7,3369.6,1538.9,397.7,2520.8,21.2,93.7,21.7,152.2,812.5,3797.8,30380.7,1160.6,38333.2
2024-01-01T09:00+01:00,2200.5,4388.9,3385.6,1534.4,398.2,2490.2,21.3,88,150.3,152.2,774.3,3408.8,30517.3,1955.4,39273
2024-01-01T09:15+01:00,2209.5,4382.7,3386.9,1529.4,397.8,2494.9,21.2,88.9,149.1,152.3,789.9,3132.4,30494.4,2810.3,39720.7
2024-01-01T09:30+01:00,2213.1,4384.2,3359.1,1533.2,397.5,2494.9,21,88.5,149.1,152.2,808.3,3110.8,30427.2,3587.5,40187
2024-01-01T09:45+01:00,2220.7,4375,3367.6,1535.6,397.3,2489.6,21,87.1,150.5,152.2,807.2,3274.2,30351.2,4386.3,40626.6
2024-01-01T10:00+01:00,2222.2,4330.3,3413.2,1546.5,398,2501,21,87.5,68.4,152.3,808.2,3164.2,30135.2,5249.5,41318.7
2024-01-01T10:15+01:00,2224.3,4324.2,3480.1,1564.2,397.7,2504.7,21,57.9,63.9,152.2,810.6,3401.2,30111.5,6055.2,41979.9
2024-01-01T10:30+01:00,2231.8,4318.8,3465.1,1583.5,397.9,2510,20.8,62.7,62.9,152.3,808.7,3667.6,30241,6724.4,42607.9
2024-01-01T10:45+01:00,2239.7,4327.5,3433.9,1584.7,398.3,2499.2,20.8,69,64,152.2,816.8,3647.3,29959.9,7183.4,43330.1
2024-01-01T11:00+01:00,2237.7,4290.7,3359.6,1599.2,397.8,2458.3,20.8,101.4,119.7,152.3,812.8,3491,29924.7,7633.3,44046.5
2024-01-01T11:15+01:00,2242,4293.3,3346.5,1597,398.4,2470.6,20.7,88.9,64.3,152.2,813.9,3499.2,29870.3,7859.1,44575.3
2024-01-01T11:30+01:00,2240.2,4284.7,3342.2,1595.1,397.5,2442,20.6,88.2,62.9,152.2,811.8,3638.5,30005.5,7923,45221.7
